0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:13 +1100] "GET /getApplicationStat/memory/chart.pinpoint?applicationId=TESTAPP&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:13 +1100] "GET /getApplicationStat/directBuffer/chart.pinpoint?applicationId=TESTAPP&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:13 +1100] "GET /getApplicationStat/memory/chart.pinpoint?applicationId=TESTAPP&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:13 +1100] "GET /getApplicationStat/dataSource/chart.pinpoint?applicationId=TESTAPP&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:13 +1100] "GET /getApplicationStat/cpuLoad/chart.pinpoint?applicationId=TESTAPP&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:13 +1100] "GET /getApplicationStat/directBuffer/chart.pinpoint?applicationId=TESTAPP&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:13 +1100] "GET /getApplicationStat/directBuffer/chart.pinpoint?applicationId=TESTAPP&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:13 +1100] "GET /getApplicationStat/directBuffer/chart.pinpoint?applicationId=TESTAPP&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:15 +1100] "GET /getAgentList.pinpoint?application=TESTAPP&from=1585132051000&to=1585132351000 HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:15 +1100] "GET /getAgentInfo.pinpoint?agentId=test-agent&timestamp=1585132351000 HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:15 +1100] "GET /getAgentStatusTimeline.pinpoint?agentId=test-agent&from=1585131451000&to=1585132351000&exclude=10199 HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:16 +1100] "GET /getAgentStat/responseTime/chart.pinpoint?agentId=test-agent&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 5140
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:16 +1100] "GET /getAgentStat/cpuLoad/chart.pinpoint?agentId=test-agent&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 6385
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:16 +1100] "GET /getAgentStat/transaction/chart.pinpoint?agentId=test-agent&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 18229
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:16 +1100] "GET /getAgentStat/jvmGc/chart.pinpoint?agentId=test-agent&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 17676
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:16 +1100] "GET /getAgentStat/activeTrace/chart.pinpoint?agentId=test-agent&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 11185
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:16 +1100] "GET /getAgentStat/fileDescriptor/chart.pinpoint?agentId=test-agent&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 1016
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:16 +1100] "GET /getAgentStat/dataSource/chartList.pinpoint?agentId=test-agent&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:16 +1100] "GET /getAgentStat/directBuffer/chart.pinpoint?agentId=test-agent&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 9845
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:16 +1100] "GET /getAgentStat/jvmGc/chart.pinpoint?agentId=test-agent&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 17676
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:16 +1100] "GET /getAgentStat/directBuffer/chart.pinpoint?agentId=test-agent&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 9845
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:16 +1100] "GET /getAgentStat/directBuffer/chart.pinpoint?agentId=test-agent&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 9845
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:16 +1100] "GET /getAgentStat/directBuffer/chart.pinpoint?agentId=test-agent&from=1585132051000&to=1585132351000&sampleRate=1 HTTP/1.1" 200 9845
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:17 +1100] "GET /assets/fonts/opensans/open-sans-v15-latin-700.woff2 HTTP/1.1" 200 14720
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:28 +1100] "GET /assets/img/icon-down.png HTTP/1.1" 200 1342
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:28 +1100] "GET /assets/img/icon-error.png HTTP/1.1" 200 1225
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:28 +1100] "GET /assets/img/icon-disconnect.png HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:42 +1100] "GET /3-es2015.d7ee02cec7c3f4927e1a.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:42 +1100] "GET /7-es2015.eaf9f263123b81e93414.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:42 +1100] "GET /9-es2015.ecc2b52eb16c1ad5a5c7.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:42 +1100] "GET /11-es2015.1f17d543370e6fd30aba.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:42 +1100] "GET /14-es2015.9f37a1cbf9b4c1352dcd.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:42 +1100] "GET /common-es2015.c4e0ae300666828d735a.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:42 +1100] "GET /30-es2015.3bae79ebc05d4ef9c78f.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:42 +1100] "GET /assets/img/bidirect_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:44 +1100] "GET /serverTime.pinpoint HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:45 +1100] "GET /assets/fonts/fontawesome-free-5.0.10/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:45 +1100] "GET /getServerMapDataV2.pinpoint?applicationName=TESTAPP&serviceTypeName=TOMCAT&from=1585132124000&to=1585132424000&calleeRange=1&callerRange=1&wasOnly=false&bidirectional=false HTTP/1.1" 200 5937
